h,d1s3p,d1f2p,d1t2p,d1s5p,d2s5p,d3a5p
        0.50E+00,          -3.60252169989,         -11.20454560498,           3.99950220521,          -4.95521882009,         -38.70606629556,          32.46473088496
        0.20E+00,          18.58183816540,          31.13918870401,           6.02448762678,          27.66549220246,         189.32424380495,       -1362.54806495201
        0.10E+00,          11.07219078361,          14.72290430232,           7.42147726491,           8.56897498968,          55.49452454316,        1501.92943159643
        0.50E-01,          10.08541596563,          11.73830513320,           8.43252679806,           9.75649102631,          63.81599786143,         789.41983085453
        0.10E-01,           9.80798764441,          10.12887080566,           9.48710448315,           9.79672685963,          64.09793807834,         675.64711688441
        0.50E-02,           9.79958084803,           9.95987555395,           9.63928614211,           9.79677858257,          64.09830050628,         672.54374001045
        0.10E-02,           9.79689393432,           9.82894348919,           9.76484437945,           9.79678200836,          64.09832451234,         671.55572725930
        0.50E-03,           9.79680999370,           9.81283462448,           9.78078536292,           9.79678201350,          64.09832454831,         671.52489281759
        0.10E-03,           9.79678313303,           9.79998804956,           9.79357821649,           9.79678201384,          64.09832449668,         671.51533871177
        0.50E-04,           9.79678229364,           9.79838475176,           9.79517983551,           9.79678201384,          64.09832468912,         671.51445053328
        0.10E-04,           9.79678202504,           9.79710251663,           9.79646153344,           9.79678201385,          64.09832100318,         671.46293618103
        0.10E-05,           9.79678201405,           9.79681406319,           9.79674996491,           9.79678201390,          64.09846759836,         555.11151651714
        0.10E-06,           9.79678201216,           9.79678521738,           9.79677880695,           9.79678201216,          64.13018114690,      222044.59714052684
        0.10E-07,           9.79678200078,           9.79678233385,           9.79678166771,           9.79678199893,          68.64879119041,   222044608.97344028950
exatos,           9.79678153992,           9.79678153992,           9.79678153992,           9.79678153992,          64.09832763672,         671.51458740234
